[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis started at: 2023-08-14 02:57:12 AM
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function redeem
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for withdraw
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for withdraw
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Range graph generated
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function withdraw
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for Command
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for Command
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function Command
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Range graph generated
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Value Range Analysis took 0.001470 seconds
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Dependency detection started!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | TOD dependency detected in file 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol in contract WhaleGiveaway1 in by composing functions redeem and withdraw
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | TOD dependency detected in file 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol in contract WhaleGiveaway1 in by composing functions redeem and withdraw
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | TOD dependency detected in file 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol in contract WhaleGiveaway1 in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | TOD dependency detected in file 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol in contract WhaleGiveaway1 in by composing functions Command and withdraw
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Dependency detection finished!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Static Analysis took 0.263362 seconds
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Dependency exists
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:13 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Symbolic execution took 0.844336 seconds
[INFO] | 2023-08-14 02:57:13 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:13 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis finished!
[INFO] | 2023-08-14 02:57:13 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis took 1.108344 seconds
[INFO] | 2023-08-14 02:57:13 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis finished at: 2023-08-14 02:57:13 AM
