[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Analysis started at: 2023-08-14 02:58:46 AM
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Range graph generated
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Processed function onlyOwner
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Generating return summary for withdraw
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Return summary generated for withdraw
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Processed function withdraw
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Generating return summary for sendMoney
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Return summary generated for sendMoney
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Processed function sendMoney
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Generating return summary for withdrawAll
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Return summary generated for withdrawAll
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Processed function withdrawAll
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Value Range Analysis took 0.001591 seconds
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Dependency detection started!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Dependency detection finished!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Static Analysis took 0.160906 seconds
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Dependency does not exist
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Analysis finished!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Analysis took 0.161108 seconds
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Analysis finished at: 2023-08-14 02:58:46 AM
