[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Analysis started at: 2023-08-14 02:58:48 AM
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Range graph generated
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Processed function AddMessage
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Generating return summary for Deposit
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Return summary generated for Deposit
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Range graph generated
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Processed function Deposit
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Generating return summary for Collect
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Return summary generated for Collect
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Range graph generated
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Processed function Collect
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Generating return summary for fallback
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Return summary generated for fallback
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Range graph generated
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Processed function fallback
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Value Range Analysis took 0.004306 seconds
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Dependency detection started!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | DAO dependency detected in file 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol in contract DEP_BANK in by composing functions Collect and SetLogFile
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | DAO dependency detected in file 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol in contract DEP_BANK in by composing functions Collect and Collect
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | TOD dependency detected in file 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol in contract DEP_BANK in by composing functions Collect and SetMinSum
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | TOD dependency detected in file 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol in contract DEP_BANK in by composing functions Collect and Deposit
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | TOD dependency detected in file 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol in contract DEP_BANK in by composing functions Collect and Collect
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | TOD dependency detected in file 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol in contract DEP_BANK in by composing functions Collect and fallback
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Dependency detection finished!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Static Analysis took 0.395946 seconds
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Dependency exists
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:58:50 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Symbolic execution took 1.577542 seconds
[INFO] | 2023-08-14 02:58:50 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Symbolic execution finished!
[INFO] | 2023-08-14 02:58:50 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Analysis finished!
[INFO] | 2023-08-14 02:58:50 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Analysis took 1.973941 seconds
[INFO] | 2023-08-14 02:58:50 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Analysis finished at: 2023-08-14 02:58:50 AM
