[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Analysis started at: 2023-08-14 02:56:04 AM
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Generating return summary for fallback
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Return summary generated for fallback
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Range graph generated
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Processed function fallback
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Value Range Analysis took 0.002475 seconds
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Value Range Analysis finished
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Dependency detection started!
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | DAO dependency detected in file 0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol in contract PENNY_BY_PENNY in by composing functions Collect and SetLogFile
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | TOD dependency detected in file 0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol in contract PENNY_BY_PENNY in by composing functions Collect and SetMinSum
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Dependency detection finished!
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Static Analysis took 0.383838 seconds
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Dependency exists
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Invoking symbolic executor!
[INFO] | 2023-08-14 02:56:06 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Symbolic execution took 1.364107 seconds
[INFO] | 2023-08-14 02:56:06 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Symbolic execution finished!
[INFO] | 2023-08-14 02:56:06 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Analysis finished!
[INFO] | 2023-08-14 02:56:06 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Analysis took 1.748432 seconds
[INFO] | 2023-08-14 02:56:06 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Analysis finished at: 2023-08-14 02:56:06 AM
