[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Analysis started at: 2023-08-14 02:54:27 AM
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Processed function Deposit
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Generating return summary for CashOut
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Return summary generated for CashOut
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Range graph generated
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Processed function CashOut
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Value Range Analysis took 0.002081 seconds
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Value Range Analysis finished
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Dependency detection started!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | DAO dependency detected in file 0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol in contract Private_Bank in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | TOD dependency detected in file 0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol in contract Private_Bank in by composing functions CashOut and Deposit
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | TOD dependency detected in file 0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol in contract Private_Bank in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Dependency detection finished!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Static Analysis took 0.300172 seconds
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Dependency exists
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:54:29 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Symbolic execution took 1.458391 seconds
[INFO] | 2023-08-14 02:54:29 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Symbolic execution finished!
[INFO] | 2023-08-14 02:54:29 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Analysis finished!
[INFO] | 2023-08-14 02:54:29 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Analysis took 1.759014 seconds
[INFO] | 2023-08-14 02:54:29 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Analysis finished at: 2023-08-14 02:54:29 AM
