[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Analysis started at: 2023-08-14 02:54:23 AM
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Generating return summary for fallback
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Return summary generated for fallback
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Range graph generated
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Processed function fallback
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Value Range Analysis took 0.002263 seconds
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Value Range Analysis finished
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Dependency detection started!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Dependency detection finished!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Static Analysis took 0.330972 seconds
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Dependency does not exist
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Analysis finished!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Analysis took 0.331162 seconds
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Analysis finished at: 2023-08-14 02:54:23 AM
