[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis started at: 2023-08-14 02:59:47 AM
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Dependency detection started!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | DAO dependency detected in file 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol in contract ACCURAL_DEPOSIT in by composing functions Collect and SetLogFile
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | DAO dependency detected in file 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol in contract ACCURAL_DEPOSIT in by composing functions Collect and Collect
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | TOD dependency detected in file 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol in contract ACCURAL_DEPOSIT in by composing functions Collect and SetMinSum
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | TOD dependency detected in file 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol in contract ACCURAL_DEPOSIT in by composing functions Collect and Deposit
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | TOD dependency detected in file 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol in contract ACCURAL_DEPOSIT in by composing functions Collect and Collect
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | TOD dependency detected in file 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol in contract ACCURAL_DEPOSIT in by composing functions Collect and fallback
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Dependency detection finished!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Static Analysis took 0.454442 seconds
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Dependency exists
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:59:49 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Symbolic execution took 1.456590 seconds
[INFO] | 2023-08-14 02:59:49 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Symbolic execution finished!
[INFO] | 2023-08-14 02:59:49 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis finished!
[INFO] | 2023-08-14 02:59:49 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis took 1.911483 seconds
[INFO] | 2023-08-14 02:59:49 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis finished at: 2023-08-14 02:59:49 AM
