[INFO] | 2023-08-14 02:57:14 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Analysis started at: 2023-08-14 02:57:14 AM
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Processed function tokens_buy
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Range graph generated
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Processed function onlyOwner
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Processed function fallback
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Generating return summary for withdraw
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Return summary generated for withdraw
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Processed function withdraw
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Generating return summary for change_token_price
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Return summary generated for change_token_price
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Range graph generated
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Processed function change_token_price
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Generating return summary for change_active
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Return summary generated for change_active
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Range graph generated
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Processed function change_active
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Value Range Analysis took 0.001923 seconds
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Dependency detection started!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Dependency detection finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Static Analysis took 0.287309 seconds
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Dependency does not exist
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Analysis finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Analysis took 0.287490 seconds
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Analysis finished at: 2023-08-14 02:57:15 AM
