[INFO] | 2023-08-14 02:58:51 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Analysis started at: 2023-08-14 02:58:51 AM
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Generating return summary for fallback
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Return summary generated for fallback
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Processed function fallback
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Range graph generated
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Processed function onlyOwner
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Range graph generated
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Processed function AddMessage
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Generating return summary for setLog
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Return summary generated for setLog
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Range graph generated
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Processed function setLog
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Generating return summary for Deposit
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Return summary generated for Deposit
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Range graph generated
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Processed function Deposit
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Generating return summary for CashOut
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Return summary generated for CashOut
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Range graph generated
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Processed function CashOut
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Value Range Analysis took 0.002698 seconds
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Dependency detection started!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | DAO dependency detected in file 0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol in contract PrivateDeposit in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | TOD dependency detected in file 0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol in contract PrivateDeposit in by composing functions CashOut and Deposit
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | TOD dependency detected in file 0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol in contract PrivateDeposit in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Dependency detection finished!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Static Analysis took 0.340737 seconds
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Dependency exists
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:58:53 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Symbolic execution took 1.425920 seconds
[INFO] | 2023-08-14 02:58:53 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Symbolic execution finished!
[INFO] | 2023-08-14 02:58:53 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Analysis finished!
[INFO] | 2023-08-14 02:58:53 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Analysis took 1.767092 seconds
[INFO] | 2023-08-14 02:58:53 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Analysis finished at: 2023-08-14 02:58:53 AM
