[INFO] | 2023-08-14 02:57:06 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Analysis started at: 2023-08-14 02:57:06 AM
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Dependency detection started!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | DAO dependency detected in file 0x8c7777c45481dba411450c228cb692ac3d550344.sol in contract ETH_VAULT in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | TOD dependency detected in file 0x8c7777c45481dba411450c228cb692ac3d550344.sol in contract ETH_VAULT in by composing functions CashOut and Deposit
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | TOD dependency detected in file 0x8c7777c45481dba411450c228cb692ac3d550344.sol in contract ETH_VAULT in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Dependency detection finished!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Static Analysis took 0.300375 seconds
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Dependency exists
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:08 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Symbolic execution took 1.470347 seconds
[INFO] | 2023-08-14 02:57:08 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:08 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Analysis finished!
[INFO] | 2023-08-14 02:57:08 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Analysis took 1.771123 seconds
[INFO] | 2023-08-14 02:57:08 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Analysis finished at: 2023-08-14 02:57:08 AM
