[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Analysis started at: 2023-08-14 02:54:33 AM
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | TOD dependency detected in file 0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol in contract PrivateBank in by composing functions CashOut and Deposit
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | TOD dependency detected in file 0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol in contract PrivateBank in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Dependency detection finished!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Static Analysis took 0.308234 seconds
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Dependency exists
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Invoking symbolic executor!
[INFO] | 2023-08-14 02:54:35 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Symbolic execution took 1.570249 seconds
[INFO] | 2023-08-14 02:54:35 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Symbolic execution finished!
[INFO] | 2023-08-14 02:54:35 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Analysis finished!
[INFO] | 2023-08-14 02:54:35 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Analysis took 1.878942 seconds
[INFO] | 2023-08-14 02:54:35 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Analysis finished at: 2023-08-14 02:54:35 AM
