[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Analysis started at: 2023-08-14 02:59:58 AM
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Dependency detection started!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | TOD dependency detected in file 0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol in contract Pie in by composing functions Get and withdraw
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | TOD dependency detected in file 0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol in contract Pie in by composing functions Get and withdraw
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | TOD dependency detected in file 0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol in contract Pie in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | TOD dependency detected in file 0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol in contract Pie in by composing functions Command and withdraw
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Dependency detection finished!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Static Analysis took 0.262117 seconds
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Dependency exists
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:59:59 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Symbolic execution took 0.851616 seconds
[INFO] | 2023-08-14 02:59:59 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Symbolic execution finished!
[INFO] | 2023-08-14 02:59:59 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Analysis finished!
[INFO] | 2023-08-14 02:59:59 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Analysis took 1.114703 seconds
[INFO] | 2023-08-14 02:59:59 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Analysis finished at: 2023-08-14 02:59:59 AM
