[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Analysis started at: 2023-08-14 02:57:34 AM
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Processed function Command
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Range graph generated
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Value Range Analysis took 0.001157 seconds
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Dependency detection started!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | TOD dependency detected in file 0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol in contract WhaleGiveaway1 in by composing functions GetFreebie and withdraw
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | TOD dependency detected in file 0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol in contract WhaleGiveaway1 in by composing functions GetFreebie and withdraw
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | TOD dependency detected in file 0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol in contract WhaleGiveaway1 in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | TOD dependency detected in file 0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol in contract WhaleGiveaway1 in by composing functions Command and withdraw
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Dependency detection finished!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Static Analysis took 0.255911 seconds
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Dependency exists
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:35 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Symbolic execution took 0.841566 seconds
[INFO] | 2023-08-14 02:57:35 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:35 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Analysis finished!
[INFO] | 2023-08-14 02:57:35 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Analysis took 1.097964 seconds
[INFO] | 2023-08-14 02:57:35 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Analysis finished at: 2023-08-14 02:57:35 AM
