[INFO] | 2023-08-14 02:57:21 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Analysis started at: 2023-08-14 02:57:21 AM
[INFO] | 2023-08-14 02:57:21 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | TOD dependency detected in file 0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol in contract HomeyJar in by composing functions Command and withdraw
[INFO] | 2023-08-14 02:57:21 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Dependency detection finished!
[INFO] | 2023-08-14 02:57:21 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Static Analysis took 0.255629 seconds
[INFO] | 2023-08-14 02:57:21 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Dependency exists
[INFO] | 2023-08-14 02:57:21 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:22 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Symbolic execution took 0.841060 seconds
[INFO] | 2023-08-14 02:57:22 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:22 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Analysis finished!
[INFO] | 2023-08-14 02:57:22 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Analysis took 1.097136 seconds
[INFO] | 2023-08-14 02:57:22 AM | analyzer.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4 | Analysis finished at: 2023-08-14 02:57:22 AM
