[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Analysis started at: 2023-08-14 02:57:23 AM
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Processed function getTokens
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Generating return summary for withdrawTokens
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Return summary generated for withdrawTokens
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Processed function withdrawTokens
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Value Range Analysis took 0.001872 seconds
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Dependency detection started!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Dependency detection finished!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Static Analysis took 0.210450 seconds
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Dependency does not exist
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Analysis finished!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Analysis took 0.210694 seconds
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Analysis finished at: 2023-08-14 02:57:23 AM
